question,solution,final_answer
"Joe stops at a burger restaurant every day on his way to work. Monday he had one order of medium fries and two small sodas, which had a total of 620 calories. Tuesday he had two orders of medium fries and one small soda, for a total of 820 calories. How many calories are there in one order of medium fries?","Step 1: Let's assume the number of calories in one order of medium fries is x.
Step 2: On Monday, Joe had one order of medium fries and two small sodas, which had a total of 620 calories. So, the calories from the medium fries can be represented as x, and the calories from the two small sodas can be represented as 2y (where y is the number of calories in one small soda).
Step 3: Therefore, the total calories on Monday can be expressed as x + 2y = 620.
Step 4: On Tuesday, Joe had two orders of medium fries and one small soda, which had a total of 820 calories. So, the calories from the two orders of medium fries can be represented as 2x, and the calories from the small soda can be represented as z (where z is the number of calories in one small soda).
Step 5: Therefore, the total calories on Tuesday can be expressed as 2x + z = 820.
Step 6: We now have a system of equations:
   x + 2y = 620   (from Step 3)
   2x + z = 820   (from Step 5)
Step 7: Solve the system of equations to find the values of x, y, and z.
Step 8: Once the values of x, y, and z are found, the number of calories in one order of medium fries (x) can be determined.",340
Andrea is buying some new shirts and sweaters. She is able to buy 3 shirts and 2 sweaters for $114 or she is able to buy 2 shirts and 4 sweaters for $164. How much does a shirt cost?,"Solution:
Step 1: Let's assume the cost of a shirt is ""x"" dollars.
Step 2: According to the given information, Andrea can buy 3 shirts and 2 sweaters for $114. So, the cost of 3 shirts would be 3x and the cost of 2 sweaters would be 2y.
Step 3: Similarly, Andrea can buy 2 shirts and 4 sweaters for $164. So, the cost of 2 shirts would be 2x and the cost of 4 sweaters would be 4y.
Step 4: Now we can set up a system of equations based on the given information:
   3x + 2y = 114
   2x + 4y = 164
Step 5: Solve the system of equations to find the values of x and y.
Step 6: Multiply the first equation by 2 and the second equation by 3 to eliminate the variable ""y"":
   6x + 4y = 228
   6x + 12y = 492
Step 7: Subtract the first equation from the second equation to eliminate ""x"":
   6x + 12y - (6x + 4y) = 492 - 228
   8y = 264
Step 8: Divide both sides of the equation by 8 to solve for ""y"":
   y = 33
Step 9: Substitute the value of ""y"" back into the first equation to solve for ""x"":
   3x + 2(33) = 114
   3x + 66 = 114
   3x = 48
   x = 16
Step 10: Therefore, the cost of a shirt is $16.",16
"The total amount of sodium in 2 hot dogs and 3 cups of cottage cheese is 4720 mg. The total amount of sodium in 5 hot dogs and 2 cups of cottage cheese is 6300 mg. How much sodium is in a hot dog, in mg?","Step 1: Let's assume the amount of sodium in a hot dog is ""x"" mg.
Step 2: The total amount of sodium in 2 hot dogs and 3 cups of cottage cheese is 4720 mg, so we can write the equation: 2x + 3(0) = 4720.
Step 3: Simplify the equation: 2x = 4720.
Step 4: Divide both sides of the equation by 2 to solve for x: x = 2360.
Step 5: Therefore, there is 2360 mg of sodium in a hot dog.",860
Devon is 26 years older than his son Cooper. The sum of their ages is 50. Find Devon's age.,"Step 1: Let's assume Cooper's age as x.
Step 2: Since Devon is 26 years older than Cooper, Devon's age can be represented as x + 26.
Step 3: The sum of their ages is 50, so we can write the equation as x + (x + 26) = 50.
Step 4: Simplify the equation: 2x + 26 = 50.
Step 5: Subtract 26 from both sides of the equation: 2x = 24.
Step 6: Divide both sides of the equation by 2: x = 12.
Step 7: Cooper's age is 12, so Devon's age is x + 26 = 12 + 26 = 38.
Step 8: Therefore, Devon's age is 38.",38
"When Jenna spent 10 minutes on the elliptical trainer and then did circuit training for 20 minutes, her fitness app says she burned 278 calories. When she spent 20 minutes on the elliptical trainer and 30 minutes circuit training she burned 473 calories. How many calories does she burn for each minute on the elliptical trainer?","Step 1: Let's assume that Jenna burns x calories per minute on the elliptical trainer.
Step 2: According to the information given, Jenna spent 10 minutes on the elliptical trainer and burned 10x calories.
Step 3: Jenna also did circuit training for 20 minutes and burned an additional 20 calories.
Step 4: Therefore, the total calories burned during this session is 10x + 20.
Step 5: According to the fitness app, Jenna burned 278 calories in total during this session.
Step 6: Set up an equation: 10x + 20 = 278.
Step 7: Solve the equation: 10x = 278 - 20 = 258.
Step 8: Divide both sides of the equation by 10: x = 258/10 = 25.8.
Step 9: Jenna burns approximately 25.8 calories per minute on the elliptical trainer.",11.2
"Joni left St. Louis on the interstate, driving west towards Denver at a speed of 65 miles per hour. Half an hour later, Kelly left St. Louis on the same route as Joni, driving 78 miles per hour. How many hours will it take Kelly to catch up to Joni?","Solution:
Step 1: Determine the initial distance between Joni and Kelly when Kelly starts driving. Since Joni has already been driving for half an hour at a speed of 65 miles per hour, the initial distance between them is (65 miles/hour) * (0.5 hour) = 32.5 miles.
Step 2: Calculate the relative speed between Joni and Kelly. The relative speed is the difference between their speeds, which is (78 miles/hour) - (65 miles/hour) = 13 miles/hour.
Step 3: Divide the initial distance by the relative speed to find the time it will take for Kelly to catch up to Joni. The time is (32.5 miles) / (13 miles/hour) = 2.5 hours.
Step 4: Therefore, it will take Kelly 2.5 hours to catch up to Joni.",2.5
"A river cruise ship sailed 60 miles downstream for 4 hours and then took 5 hours sailing upstream to return to the dock. Find the speed of the ship in still water, in miles per hour.","Step 1: Let's assume the speed of the ship in still water is ""x"" miles per hour.
Step 2: When the ship is sailing downstream, it benefits from the current, so its effective speed is increased by the speed of the current. Therefore, the speed downstream is (x + c) miles per hour, where ""c"" represents the speed of the current.
Step 3: The ship sailed 60 miles downstream for 4 hours, so we can set up the equation: distance = speed ¡Á time. Therefore, 60 = (x + c) ¡Á 4.
Step 4: When the ship is sailing upstream, it has to overcome the current, so its effective speed is decreased by the speed of the current. Therefore, the speed upstream is (x - c) miles per hour.
Step 5: The ship took 5 hours sailing upstream, so we can set up the equation: distance = speed ¡Á time. Therefore, 60 = (x - c) ¡Á 5.
Step 6: We now have a system of equations:
   - 60 = (x + c) ¡Á 4
   - 60 = (x - c) ¡Á 5
Step 7: Solve the system of equations to find the values of ""x"" and ""c"".
Step 8: Once we have the values of ""x"" and ""c"", we can determine the speed of the ship in still water by substituting the value of ""c"" into either equation.",13.5
"A private jet can fly 1095 miles in three hours with a tailwind but only 987 miles in three hours into a headwind. Find the speed of the jet in still air, in miles per hour.","Step 1: Let's assume the speed of the jet in still air as ""x"" miles per hour.
Step 2: With a tailwind, the jet can fly 1095 miles in three hours. So, the effective speed of the jet with the tailwind is (x + w) miles per hour, where ""w"" represents the speed of the tailwind.
Step 3: Using the formula distance = speed ¡Á time, we can write the equation 1095 = (x + w) ¡Á 3.
Step 4: Similarly, with a headwind, the jet can only fly 987 miles in three hours. So, the effective speed of the jet with the headwind is (x - w) miles per hour.
Step 5: Using the formula distance = speed ¡Á time, we can write the equation 987 = (x - w) ¡Á 3.
Step 6: Simplify equations 3 and 5 to get 3x + 3w = 1095 and 3x - 3w = 987.
Step 7: Add equations 3 and 5 to eliminate ""w"" and solve for ""x"". (3x + 3w) + (3x - 3w) = 1095 + 987.
Step 8: Simplify the equation to get 6x = 2082.
Step 9: Divide both sides of the equation by 6 to solve for ""x"". x = 2082 / 6.
Step 10: Calculate the value of ""x"". x ¡Ö 347.
Step 11: Therefore, the speed of the jet in still air is approximately 347 miles per hour.",347
"A married couple together earn $75,000. The husband earns $15,000 more than five times what his wife earns. What does the wife earn?","Step 1: Let's assume the amount of money the wife earns as ""x"" dollars.
Step 2: According to the problem, the husband earns $15,000 more than five times what his wife earns. So, the husband earns 5x + $15,000.
Step 3: The total earnings of the couple is $75,000. Therefore, we can write the equation: x + (5x + $15,000) = $75,000.
Step 4: Simplify the equation: 6x + $15,000 = $75,000.
Step 5: Subtract $15,000 from both sides of the equation: 6x = $60,000.
Step 6: Divide both sides of the equation by 6: x = $10,000.
Step 7: The wife earns $10,000.",10000
"Daniela invested a total of $50,000, some in a certificate of deposit (CD) and the remainder in bonds. The amount invested in bonds was $5000 more than twice the amount she put into the CD. How much did she invest in the CD?","Step 1: Let's assume the amount invested in the CD is x dollars.
Step 2: According to the problem, the amount invested in bonds is $5000 more than twice the amount invested in the CD. So, the amount invested in bonds is 2x + $5000.
Step 3: The total amount invested is the sum of the amount invested in the CD and the amount invested in bonds, which is x + (2x + $5000).
Step 4: The total amount invested is given as $50,000, so we can set up the equation x + (2x + $5000) = $50,000.
Step 5: Simplify the equation by combining like terms: 3x + $5000 = $50,000.
Step 6: Subtract $5000 from both sides of the equation to isolate the variable: 3x = $45,000.
Step 7: Divide both sides of the equation by 3 to solve for x: x = $15,000.
Step 8: Therefore, Daniela invested $15,000 in the CD.",15000
"In her last two years in college, Marlene received $42,000 in loans. The first year she received a loan that was $6,000 less than three times the amount of the second year¡¯s loan. What was the amount of her loan for the first year?","Step 1: Let's assume the amount of Marlene's loan for the second year is represented by ""x"".
Step 2: According to the problem, the first year's loan was $6,000 less than three times the amount of the second year's loan. So, the first year's loan can be represented as 3x - $6,000.
Step 3: The total amount of loans received by Marlene in her last two years in college is $42,000. Therefore, we can set up the equation: (3x - $6,000) + x = $42,000.
Step 4: Simplify the equation: 4x - $6,000 = $42,000.
Step 5: Add $6,000 to both sides of the equation: 4x = $48,000.
Step 6: Divide both sides of the equation by 4 to solve for x: x = $12,000.
Step 7: Substitute the value of x back into the expression for the first year's loan: 3x - $6,000 = 3($12,000) - $6,000.
Step 8: Simplify the expression: 3($12,000) - $6,000 = $36,000 - $6,000 = $30,000.
Step 9: Therefore, the amount of Marlene's loan for the first year was $30,000.",30000
"Alyssa is twelve years older than her sister, Bethany. The sum of their ages is forty-four. Find Alyssa's age.","Step 1: Let's assume Alyssa's age as x.
Step 2: Since Alyssa is twelve years older than her sister Bethany, Bethany's age can be represented as (x - 12).
Step 3: The sum of their ages is forty-four, so we can write the equation x + (x - 12) = 44.
Step 4: Simplify the equation by combining like terms: 2x - 12 = 44.
Step 5: Add 12 to both sides of the equation to isolate the variable: 2x = 56.
Step 6: Divide both sides of the equation by 2 to solve for x: x = 28.
Step 7: Therefore, Alyssa's age is 28.",28
The age of Noelle¡¯s dad is six less than three times Noelle¡¯s age. The sum of their ages is seventy-four. Find Noelle¡¯s dad's age.,"Step 1: Let's assume Noelle's age as ""x"".
Step 2: According to the problem, Noelle's dad's age is six less than three times Noelle's age, which can be expressed as 3x - 6.
Step 3: The sum of their ages is seventy-four, so we can write the equation as x + (3x - 6) = 74.
Step 4: Simplify the equation by combining like terms: 4x - 6 = 74.
Step 5: Add 6 to both sides of the equation to isolate the variable: 4x = 80.
Step 6: Divide both sides of the equation by 4 to solve for x: x = 20.
Step 7: Now substitute the value of x back into the expression for Noelle's dad's age: 3x - 6 = 3(20) - 6 = 60 - 6 = 54.
Step 8: Therefore, Noelle's dad's age is 54.",54
Two containers of gasoline hold a total of fifty gallons. The big container can hold ten gallons less than twice the small container. How many gallons does the big container hold?,"Step 1: Let's assume the amount of gasoline in the small container is represented by ""x"" gallons.
Step 2: According to the problem, the big container can hold ten gallons less than twice the small container. So, the amount of gasoline in the big container is (2x - 10) gallons.
Step 3: The total amount of gasoline in both containers is fifty gallons. Therefore, we can write the equation: x + (2x - 10) = 50.
Step 4: Simplify the equation: 3x - 10 = 50.
Step 5: Add 10 to both sides of the equation: 3x = 60.
Step 6: Divide both sides of the equation by 3: x = 20.
Step 7: Substitute the value of x back into the expression for the big container: 2x - 10 = 2(20) - 10 = 40 - 10 = 30.
Step 8: Therefore, the big container holds 30 gallons of gasoline.",30
"Shelly spent 10 minutes jogging and 20 minutes cycling and burned 300 calories. The next day, Shelly swapped times, doing 20 minutes of jogging and 10 minutes of cycling and burned the same number of calories. How many calories were burned for each minute of jogging?","Solution:
Step 1: Let's assume that the number of calories burned per minute of jogging is x.
Step 2: Calculate the total number of calories burned during the first day by multiplying the time spent jogging (10 minutes) by the calories burned per minute of jogging (x), and adding it to the total number of calories burned during cycling (20 minutes * y calories per minute of cycling).
Step 3: Set up the equation: 10x + 20y = 300.
Step 4: Calculate the total number of calories burned during the second day by multiplying the time spent jogging (20 minutes) by the calories burned per minute of jogging (x), and adding it to the total number of calories burned during cycling (10 minutes * y calories per minute of cycling).
Step 5: Set up the equation: 20x + 10y = 300.
Step 6: Solve the system of equations (Step 3 and Step 5) to find the values of x and y.
Step 7: Substitute the values of x and y back into either equation to find the number of calories burned per minute of jogging.",10
Troy and Lisa were shopping for school supplies. Each purchased different quantities of the same notebook and thumb drive. Troy bought four notebooks and five thumb drives for $116. Lisa bought two notebooks and three thumb dives for $68. Find the cost of each notebook.,"Step 1: Let's assume the cost of each notebook is ""x"" dollars.
Step 2: Since Troy bought four notebooks, the total cost of the notebooks for Troy is 4x dollars.
Step 3: Similarly, since Lisa bought two notebooks, the total cost of the notebooks for Lisa is 2x dollars.
Step 4: Let's assume the cost of each thumb drive is ""y"" dollars.
Step 5: Since Troy bought five thumb drives, the total cost of the thumb drives for Troy is 5y dollars.
Step 6: Similarly, since Lisa bought three thumb drives, the total cost of the thumb drives for Lisa is 3y dollars.
Step 7: According to the problem, the total cost of notebooks and thumb drives for Troy is $116, so we can write the equation: 4x + 5y = 116.
Step 8: Similarly, the total cost of notebooks and thumb drives for Lisa is $68, so we can write the equation: 2x + 3y = 68.
Step 9: Now we have a system of equations:
   4x + 5y = 116
   2x + 3y = 68
Step 10: We can solve this system of equations to find the values of x and y, which represent the cost of each notebook and thumb drive, respectively.",4
"Sarah left Minneapolis heading east on the interstate at a speed of 60 mph. Her sister followed her on the same route, leaving two hours later and driving at a rate of 70 mph. How many hours will it take for Sarah¡¯s sister to catch up to Sarah?","Solution:
Step 1: Determine the speed at which Sarah is traveling, which is 60 mph.
Step 2: Determine the speed at which Sarah's sister is traveling, which is 70 mph.
Step 3: Calculate the time difference between Sarah and her sister, which is 2 hours.
Step 4: Set up the equation d = rt, where d represents the distance traveled, r represents the rate or speed, and t represents the time.
Step 5: Let t be the time it takes for Sarah's sister to catch up to Sarah.
Step 6: Since Sarah has a head start of 2 hours, the distance traveled by Sarah's sister is 70t, while the distance traveled by Sarah is 60(t + 2).
Step 7: Set up the equation 70t = 60(t + 2) to represent the distances traveled by Sarah's sister and Sarah.
Step 8: Solve the equation for t to find the time it takes for Sarah's sister to catch up to Sarah.",12
"At the end of spring break, Lucy left the beach and drove back towards home, driving at a rate of 40 mph. Lucy¡¯s friend left the beach for home 30 minutes (half an hour) later, and drove 50 mph. How many hours did it take Lucy¡¯s friend to catch up to Lucy?","Step 1: Convert the 30 minutes delay of Lucy's friend into hours by dividing it by 60. So, the delay is 30/60 = 0.5 hours.
Step 2: Determine the head start distance of Lucy by multiplying her driving rate of 40 mph by the delay of 0.5 hours. So, the head start distance is 40 mph * 0.5 hours = 20 miles.
Step 3: Set up a distance equation to represent the situation, where x represents the time it takes for Lucy's friend to catch up to Lucy. The equation is: Distance traveled by Lucy's friend = Distance traveled by Lucy + Head start distance.
Step 4: Substitute the values into the equation: 50 mph * x hours = 40 mph * x hours + 20 miles.
Step 5: Simplify the equation: 50x = 40x + 20.
Step 6: Subtract 40x from both sides of the equation: 10x = 20.
Step 7: Divide both sides of the equation by 10: x = 2.
Step 8: The time it takes for Lucy's friend to catch up to Lucy is 2 hours.",2
"The Jones family took a 12 mile canoe ride down the Indian River in two hours. After lunch, the return trip back up the river took three hours. Find the rate of the canoe in still water, in miles per hour.","Step 1: Identify the distance traveled by the Jones family during the canoe ride, which is 12 miles.
Step 2: Determine the total time taken for the canoe ride, which is 2 hours for the downstream trip and 3 hours for the upstream trip, resulting in a total of 5 hours.
Step 3: Understand that the rate of the canoe in still water can be represented by the variable ""r"" (miles per hour).
Step 4: Use the formula: Distance = Rate ¡Á Time to find the rate of the canoe in still water.
Step 5: For the downstream trip, the distance is 12 miles and the time is 2 hours, so the equation becomes 12 = r ¡Á 2.
Step 6: Solve the equation from Step 5 for ""r"" by dividing both sides by 2: r = 12/2 = 6 miles per hour.
Step 7: For the upstream trip, the distance is 12 miles and the time is 3 hours, so the equation becomes 12 = r ¡Á 3.
Step 8: Solve the equation from Step 7 for ""r"" by dividing both sides by 3: r = 12/3 = 4 miles per hour.
Step 9: Understand that the rate of the canoe in still water is the average of the downstream and upstream rates.
Step 10: Calculate the average rate by adding the downstream rate (6 miles per hour) and the upstream rate (4 miles per hour) and dividing by 2: (6 + 4)/2 = 10/2 = 5 miles per hour.
Step 11: The rate of the canoe in still water is 5 miles per hour.",5
"A motor boat traveled 18 miles down a river in two hours but going back upstream, it took 4.5 hours due to the current. Find the rate of the motor boat in still water, in miles per hour.","Step 1: Let's assume the rate of the motor boat in still water is ""x"" miles per hour.
Step 2: When the motor boat is traveling downstream, it benefits from the current, so its effective speed is increased. Therefore, the speed downstream is (x + c) miles per hour, where ""c"" represents the speed of the current.
Step 3: We know that the motor boat traveled 18 miles downstream in 2 hours, so we can set up the equation: distance = speed ¡Á time. Therefore, 18 = (x + c) ¡Á 2.
Step 4: When the motor boat is traveling upstream, it has to overcome the current, so its effective speed is decreased. Therefore, the speed upstream is (x - c) miles per hour.
Step 5: We know that the motor boat traveled 18 miles upstream in 4.5 hours, so we can set up the equation: distance = speed ¡Á time. Therefore, 18 = (x - c) ¡Á 4.5.
Step 6: Now we have a system of two equations with two variables. We can solve this system to find the values of ""x"" and ""c"".
Step 7: Simplify the equations: 2x + 2c = 18 and 4.5x - 4.5c = 18.
Step 8: Multiply the second equation by 2 to eliminate the decimals: 9x - 9c = 36.
Step 9: Add the two equations together to eliminate ""c"": 2x + 2c + 9x - 9c = 18 + 36.
Step 10: Simplify the equation: 11x = 54.
Step 11: Divide both sides of the equation by 11 to solve for ""x"": x = 54/11.
Step 12: Simplify the fraction: x ¡Ö 4.909.
Step 13: Therefore, the rate of the motor boat in still water is approximately 4.909 miles per hour.",6.5
"A small jet can fly 1,072 miles in 4 hours with a tailwind but only 848 miles in 4 hours into a headwind. Find the speed of the jet in still air, in miles per hour.","Step 1: Let's assume the speed of the jet in still air is ""x"" miles per hour.
Step 2: With a tailwind, the jet can fly 1,072 miles in 4 hours. This means the effective speed of the jet with the tailwind is (x + w), where ""w"" represents the speed of the tailwind.
Step 3: Using the formula distance = speed ¡Á time, we can write the equation 1,072 = (x + w) ¡Á 4.
Step 4: With a headwind, the jet can only fly 848 miles in 4 hours. This means the effective speed of the jet against the headwind is (x - w).
Step 5: Using the formula distance = speed ¡Á time, we can write the equation 848 = (x - w) ¡Á 4.
Step 6: Simplify the equations: 
    - Equation 1: 1,072 = 4x + 4w
    - Equation 2: 848 = 4x - 4w
Step 7: Add the two equations together to eliminate the variable ""w"": 
    - 1,072 + 848 = 4x + 4w + 4x - 4w
    - 1,920 = 8x
Step 8: Divide both sides of the equation by 8 to solve for ""x"": 
    - x = 1,920 / 8
    - x = 240
Step 9: The speed of the jet in still air is 240 miles per hour.",240
"A commercial jet can fly 868 miles in 2 hours with a tailwind but only 792 miles in 2 hours into a headwind. Find the speed of the jet in still air, in miles per hour.","Step 1: Let's assume the speed of the jet in still air is ""x"" miles per hour.
Step 2: With a tailwind, the jet can fly 868 miles in 2 hours. This means the effective speed of the jet with the tailwind is (x + w) miles per hour, where ""w"" is the speed of the tailwind.
Step 3: Using the formula distance = speed ¡Á time, we can write the equation 868 = (x + w) ¡Á 2.
Step 4: Simplifying the equation, we get 868 = 2x + 2w.
Step 5: With a headwind, the jet can only fly 792 miles in 2 hours. This means the effective speed of the jet with the headwind is (x - w) miles per hour.
Step 6: Using the formula distance = speed ¡Á time, we can write the equation 792 = (x - w) ¡Á 2.
Step 7: Simplifying the equation, we get 792 = 2x - 2w.
Step 8: Now we have a system of equations:
   868 = 2x + 2w
   792 = 2x - 2w
Step 9: Solve the system of equations to find the values of ""x"" and ""w"".
Step 10: Add the two equations together to eliminate ""w"". We get 1660 = 4x.
Step 11: Divide both sides of the equation by 4 to solve for ""x"". We get x = 415.
Step 12: Substitute the value of ""x"" back into one of the original equations to solve for ""w"". Let's use the first equation: 868 = 2(415) + 2w.
Step 13: Simplify the equation: 868 = 830 + 2w.
Step 14: Subtract 830 from both sides of the equation: 38 = 2w.
Step 15: Divide both sides of the equation by 2 to solve for ""w"". We get w = 19.
Step 16: The speed of the jet in still air is 415 miles per hour.",415
"The box office at a movie theater sold 147 tickets for the evening show, and receipts totaled $1,302. A child ticket costs $8, and an adult ticket costs $11. How many $11 adult tickets were sold?","Step 1: Identify the number of tickets sold for the evening show, which is 147 tickets.
Step 2: Understand that the total receipts from the ticket sales were $1,302.
Step 3: Let's assume the number of child tickets sold as 'c' and the number of adult tickets sold as 'a'.
Step 4: Write the equation for the total number of tickets sold: c + a = 147.
Step 5: Write the equation for the total receipts: 8c + 11a = 1,302.
Step 6: Solve the system of equations formed by Step 4 and Step 5 to find the values of 'c' and 'a'.
Step 7: Substitute the value of 'c' or 'a' into the equation c + a = 147 to find the value of the other variable.
Step 8: The value of 'a' represents the number of $11 adult tickets sold.",42
Carson wants to make 20 pounds of trail mix using nuts and chocolate chips. His budget requires that the trail mix costs him $7.60 per pound. Nuts cost $9.00 per pound and chocolate chips cost $2.00 per pound. How many pounds of nuts should he use?,"Step 1: Determine the cost per pound of the trail mix, which is $7.60.
Step 2: Identify the cost per pound of nuts, which is $9.00.
Step 3: Determine the cost per pound of chocolate chips, which is $2.00.
Step 4: Let the number of pounds of nuts be represented by ""x"".
Step 5: Calculate the cost of nuts by multiplying the cost per pound ($9.00) by the number of pounds (x).
Step 6: Calculate the cost of chocolate chips by multiplying the cost per pound ($2.00) by the remaining weight of the trail mix (20 - x) pounds.
Step 7: Set up an equation to represent the total cost of the trail mix: (cost of nuts) + (cost of chocolate chips) = (total cost of trail mix).
Step 8: Substitute the calculated values into the equation: ($9.00 * x) + ($2.00 * (20 - x)) = ($7.60 * 20).
Step 9: Simplify the equation: 9x + 2(20 - x) = 152.
Step 10: Distribute and combine like terms: 9x + 40 - 2x = 152.
Step 11: Simplify the equation further: 7x + 40 = 152.
Step 12: Subtract 40 from both sides of the equation: 7x = 112.
Step 13: Divide both sides of the equation by 7 to solve for x: x = 16.
Step 14: The number of pounds of nuts Carson should use is 16 pounds.",16
"Tickets to a Broadway show cost $35 for adults and $15 for children. The total receipts for 1650 tickets at one performance were $47,150. How many adult tickets were sold?","Step 1: Identify the cost of an adult ticket, which is $35.
Step 2: Identify the cost of a child ticket, which is $15.
Step 3: Let's assume the number of adult tickets sold is ""x"".
Step 4: The number of child tickets sold can be calculated as 1650 - x, since the total number of tickets sold is 1650.
Step 5: Calculate the total revenue from adult tickets by multiplying the number of adult tickets (x) by the cost of an adult ticket ($35).
Step 6: Calculate the total revenue from child tickets by multiplying the number of child tickets (1650 - x) by the cost of a child ticket ($15).
Step 7: Set up an equation to represent the total revenue from both types of tickets: Total revenue = Revenue from adult tickets + Revenue from child tickets.
Step 8: Substitute the calculated values into the equation: $47,150 = (35x) + (15(1650 - x)).
Step 9: Simplify the equation: $47,150 = 35x + 24,750 - 15x.
Step 10: Combine like terms: $47,150 = 20x + 24,750.
Step 11: Subtract 24,750 from both sides of the equation: $47,150 - $24,750 = 20x.
Step 12: Simplify: $22,400 = 20x.
Step 13: Divide both sides of the equation by 20: $22,400 / 20 = x.
Step 14: Calculate: x = 1120.
Step 15: The number of adult tickets sold is 1120.",1120
"Tickets for a train cost $10 for children and $22 for adults. Josie paid $1,200 for a total of 72 tickets. How many children¡¯s tickets did Josie buy?","Solution:
Step 1: Identify the cost of a child's ticket, which is $10.
Step 2: Identify the cost of an adult's ticket, which is $22.
Step 3: Understand that Josie paid a total of $1,200 for 72 tickets.
Step 4: Let's assume that Josie bought x children's tickets.
Step 5: Calculate the cost of the children's tickets by multiplying the number of children's tickets (x) by the cost of a child's ticket ($10).
Step 6: Calculate the cost of the adult's tickets by subtracting the cost of the children's tickets from the total amount paid by Josie ($1,200 - cost of children's tickets).
Step 7: Calculate the number of adult's tickets by dividing the cost of the adult's tickets by the cost of an adult's ticket ($22).
Step 8: Set up an equation to represent the total number of tickets: x (number of children's tickets) + number of adult's tickets = 72.
Step 9: Solve the equation to find the value of x (number of children's tickets).
Step 10: The value of x represents the number of children's tickets that Josie bought.",32
"Tickets for a dance recital cost $15 for adults and $7 for children. The dance company sold 253 tickets and the total receipts were $2,771. How many adult tickets were sold?","Step 1: Let's assume the number of adult tickets sold is ""x"".
Step 2: The number of children tickets sold can be calculated as 253 - x, since the total number of tickets sold is 253.
Step 3: The total revenue from adult tickets can be calculated as 15x, since each adult ticket costs $15.
Step 4: The total revenue from children tickets can be calculated as 7(253 - x), since each children ticket costs $7.
Step 5: The total revenue from all tickets can be calculated as 2771, since the total receipts were $2,771.
Step 6: Set up the equation: 15x + 7(253 - x) = 2771.
Step 7: Simplify the equation: 15x + 1771 - 7x = 2771.
Step 8: Combine like terms: 8x + 1771 = 2771.
Step 9: Subtract 1771 from both sides: 8x = 1000.
Step 10: Divide both sides by 8: x = 125.
Step 11: Therefore, 125 adult tickets were sold.",125
"A cashier has 30 bills, all of which are $10 or $20 bills. The total value of the money is $460. How many of the  $10 bill does the cashier have?","Step 1: Let's assume the number of $10 bills the cashier has is x.
Step 2: Since the cashier has 30 bills in total, the number of $20 bills can be calculated as 30 - x.
Step 3: The value of x $10 bills is 10x, and the value of (30 - x) $20 bills is 20(30 - x).
Step 4: The total value of the money is $460, so we can set up the equation 10x + 20(30 - x) = 460.
Step 5: Simplify the equation: 10x + 600 - 20x = 460.
Step 6: Combine like terms: -10x + 600 = 460.
Step 7: Move 600 to the other side of the equation: -10x = 460 - 600.
Step 8: Simplify: -10x = -140.
Step 9: Divide both sides of the equation by -10: x = -140 / -10.
Step 10: Calculate: x = 14.
Step 11: The cashier has 14 $10 bills.",14
Hannah has to make twenty-five gallons of punch for a potluck. The punch is made of soda and fruit drink. The cost of the soda is $1.79 per gallon and the cost of the fruit drink is $2.49 per gallon. Hannah¡¯s budget requires that the punch cost $2.21 per gallon. How many gallons of soda does she need?,"Step 1: Determine the total cost of the punch based on Hannah's budget, which is $2.21 per gallon.
Step 2: Calculate the cost difference between the soda and the fruit drink, which is $2.49 - $1.79 = $0.70 per gallon.
Step 3: Set up an equation to represent the cost per gallon of the punch: 
   (cost of soda * gallons of soda + cost of fruit drink * gallons of fruit drink) / total gallons of punch = $2.21
Step 4: Substitute the given values into the equation: 
   ($1.79 * gallons of soda + $2.49 * gallons of fruit drink) / 25 = $2.21
Step 5: Simplify the equation by multiplying both sides by 25 to eliminate the denominator: 
   $1.79 * gallons of soda + $2.49 * gallons of fruit drink = $2.21 * 25
Step 6: Rearrange the equation to solve for the gallons of soda: 
   gallons of soda = ($2.21 * 25 - $2.49 * gallons of fruit drink) / $1.79",10
Julia and her husband own a coffee shop. They experimented with mixing a City Roast Columbian coffee that cost $7.80 per pound with French Roast Columbian coffee that cost $8.10 per pound to make a 20 pound blend. Their blend should cost them $7.92 per pound. How much of City Roast Columbian coffee should they buy?,"Step 1: Let's assume the amount of City Roast Columbian coffee to be bought is x pounds.
Step 2: The cost of City Roast Columbian coffee per pound is $7.80.
Step 3: The amount of French Roast Columbian coffee to be bought is (20 - x) pounds, as the total blend is 20 pounds.
Step 4: The cost of French Roast Columbian coffee per pound is $8.10.
Step 5: The total cost of the City Roast Columbian coffee is x pounds * $7.80 per pound = $7.80x.
Step 6: The total cost of the French Roast Columbian coffee is (20 - x) pounds * $8.10 per pound = $8.10(20 - x).
Step 7: The total cost of the blend is the sum of the costs of the City Roast Columbian coffee and the French Roast Columbian coffee, which is $7.92 per pound * 20 pounds = $158.40.
Step 8: Set up the equation: $7.80x + $8.10(20 - x) = $158.40.
Step 9: Simplify the equation: $7.80x + $162 - $8.10x = $158.40.
Step 10: Combine like terms: -$0.30x + $162 = $158.40.
Step 11: Subtract $162 from both sides: -$0.30x = -$3.60.
Step 12: Divide both sides by -$0.30 to solve for x: x = 12.
Step 13: Julia and her husband should buy 12 pounds of City Roast Columbian coffee.",12
